ProteinID,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,NoGp_1,NoGp_2,NoGp_3,NoGn_1,NoGn_2,NoGn_3
P23763,13.2,10.3,9.6,14,9.7,7.7,11.2,14.8,13,9.1,14.5,11.1,9.1,11.1,12
Q9UI95,31,25.4,15.4,38.2,12.5,24,30.4,23.6,18.2,26.9,11,30.4,20.2,11.5,13.5
Q13423,743.4,520.9,404.2,1187.3,329.2,619.6,627.2,714.5,576,551.9,511.8,614.9,743.4,398,530.5
Q6F5E8,128.6,126.2,153.5,140.5,130.2,114.2,122.8,152.4,162.5,121.1,107.7,117.9,76.9,132,104.9
Q00577,189,79.7,247.1,95.3,152.1,154.1,156.9,72.8,132.5,172.6,61.9,257.7,79.5,56.1,38.6
Q9C0J8,156.4,175.3,128.7,231.4,133.4,157.6,141.6,200.3,170.3,169.4,150.2,115.1,102.4,125.4,121.7
Q9UGI8,58.4,36.7,57.8,61.5,35.8,51.5,49.2,53.5,36.6,42,47.5,69.3,19.2,24.5,26.1
Q13185,1045.8,517.6,1754.9,477.2,1532,1052,1142.9,526.2,1190.9,1327.9,407.5,1158.5,367.9,331.2,319.6
Q5FWF6,19.2,17.5,15.7,30,15.1,12.3,22.8,17.1,20,16.8,21.4,20.7,14.3,16.1,17
P57105,110.9,215.8,146.6,124.4,198.6,98.6,139.8,289.4,214.3,124.9,291,180.2,27.5,23,37.2
P45974,193.4,67.7,77,60.5,39.8,112.3,118.8,64,56.5,104,58.2,116.1,68.9,70.4,84.1
P04075,226.9,210.3,182,476.3,161.6,181.8,198.5,261.2,201.8,226.3,162.3,246.5,231,154.6,166.7
P0DPB6,39.8,20.5,30.7,14.4,33.3,27.3,37.5,21.3,33.6,33.5,14.9,24.7,11.3,19.7,18.4
Q8NHQ8,76,72.4,78.5,39.1,76.6,48.9,58.2,70.6,86.3,77.8,66.3,88.4,47.2,62.5,61
Q71RC2,625.9,309.1,548.1,322,469.2,550.7,649.8,357.6,423.3,517.2,323,487.8,153,189.4,182.1
P0DJD0,67.4,49.5,94,45.5,55.7,59.7,61,36.5,65.3,61,53.2,105.4,30.3,29.6,35
Q9NYJ1,58.3,39.2,53.4,36.1,73,53.3,71.4,40.8,76.6,70.8,32.2,41.4,10.9,4.6,6.9
Q92538,441.2,226,252.2,260.5,153.5,316.9,354.7,253.8,214.7,289.1,232,354.8,207,166.5,168.2
P04632,12,9,9.9,10.2,7.9,6.9,13.2,9.9,5,8.8,11.6,9.2,20.7,11.8,20.2
O14686,269.1,246.8,289.4,258.9,316.2,247.6,296.1,304.3,333.2,312.6,230.1,229,148.5,184.6,159.7
Q96FV9,37.6,22.5,25.4,28.5,16.9,35.5,34.5,22.6,26.7,18,24,31.3,43.1,24.2,27.2
P63104,283.6,212,324.1,162.8,198.3,216.4,247.2,212.3,198.9,211.6,186.9,361.6,281.5,274,256.5
P58546,170.3,171.5,283,104,382.5,177,234,162.6,326.5,234.2,155.9,257.7,60.4,58.5,44.3
Q86XK2,0,2.9,0,5.5,1.8,0,0,0,0,0,0,0,6.2,6.4,5.1
Q53T59,9.3,9.8,11.7,7.8,8.6,5.9,6.6,5.5,7.4,6.3,9.1,11.1,10.6,9.6,12
Q9BX82,321.6,159.5,256.9,252.1,263.8,284.4,355.5,213.8,172,217.2,167.9,222.4,65.2,53.6,63.7
Q92581,80.8,47.8,56,73.2,55.1,69.8,82.3,69.4,75.2,60.7,54.9,64.2,69.9,72.7,52.2
Q05639,69.9,50.5,55.7,124.4,49.3,68.9,48.9,65.8,65.4,46.2,51.2,64.3,65.4,49.1,45.3
Q5M9N0,45.6,114.5,50.9,57.3,44.5,35.6,39.7,91,52.5,50.9,85.9,51,129.9,222.8,206
A0A0B4J2D5,84.8,112.1,91.6,202.1,95.4,83.8,98.7,124.5,136.7,121.2,91.2,120.9,107.3,85,111.4
P13929,101.5,83.1,53.7,158.4,45.6,75.5,86,94.6,76.1,81.4,73.6,78.8,175.9,93.8,102.5
Q9H5N1,2.4,0,4,2.2,4.3,3.2,2.7,2.9,0,0,0,4.2,0,0,2.2
Q8N5A5,98.7,50.2,106.7,60.9,99.5,85.5,96.3,61.5,84.1,107.2,37.3,58.8,37.5,50.4,32.3
P0DPF3,686.1,233.7,527.1,190.3,479.9,556.6,659.2,276.6,391.2,551.3,228.2,375.6,72.8,59.9,57.2
Q14C86,452.2,200.9,288.5,185.4,156.4,281.6,332.8,207.3,167.6,268.2,211,467.5,184.8,219.2,254.4
Q9Y6D5,31.7,31.6,25.5,34.2,22.7,25.4,29.9,34.9,30,30,40.7,32.8,43.3,45.4,46.3
Q15434,193.2,187.1,228.4,138,178.6,164.4,186.6,186.3,186.9,188.2,190,235.2,91.3,104.9,103.5
Q9P0T7,22.3,38.9,41,35.9,62.1,28.9,25.6,53.8,38.9,25.7,42.4,42,9.9,9.3,7.4
P26641,832.7,417,349.6,715.3,232,534.8,636.3,456.9,286,430.7,406.3,473.7,575.6,242.4,325.2
P51970,82.4,71.2,61.7,149.7,82,62.4,57.9,82.6,79,66,61.5,83.4,36.3,21.1,24.7
Q16777,207,579.7,179.6,547,156.5,131.4,160.7,467.1,118.1,190.2,469.1,194.3,323.3,126.1,188.5
O95772,11.1,6.6,5.4,8.5,5.1,10.2,4.7,7.6,10.1,7.3,8.4,9.4,5.4,8.4,7.2
